Company Name,Ticker,Zacks Industry Rank,Zacks Rank,VGM Score
"Carrier Global Corporation","CARR","121","2","A"
"Casa Systems, Inc.","CASA","126","3","B"
"Meta Financial Group, Inc.","CASH","181","5","B"
"Caseys General Stores, Inc.","CASY","249","4","A"
"Caterpillar Inc.","CAT","229","5","B"
"Cambridge Bancorp","CATC","219","2","B"
"Cardtronics PLC","CATM","191","3","D"
"Catasys Inc.","CATS","79","3","D"
"Cathay General Bancorp","CATY","141","3","D"
"Chubb Limited","CB","141","4","A"
"Companhia Brasileira de Distribuicao","CBD","131","4","A"
"CB Financial Services, Inc.","CBFV","219","5","C"
"CBL  Associates Properties, Inc.","CBL","181","2","B"
"Capital Bancorp, Inc.","CBNK","219","3","C"
"CBRE Group, Inc.","CBRE","139","4","D"
"Cracker Barrel Old Country Store, Inc.","CBRL","167","3","A"
"Commerce Bancshares, Inc.","CBSH","236","3","F"
"Cabot Corporation","CBT","192","5","B"
"CBTX, Inc.","CBTX","247","4","C"
"Community Bank System, Inc.","CBU","219","4","F"
"CBIZ, Inc.","CBZ","152","4","D"
"The Chemours Company","CC","192","5","D"
"Crescent Capital BDC, Inc.","CCAP","152","3","C"
"Coastal Financial Corporation","CCB","141","2","B"
"Capital City Bank Group","CCBG","247","5","F"
"China Communications Construction Co.","CCCGY","76","3","A"
"CocaCola European Partners PLC","CCEP","121","4","A"
"COCACOLA HBC","CCHGY","121","4","A"
"Crown Castle International Corporation","CCI","80","3","B"
"Crown Holdings, Inc.","CCK","50","3","D"
"Carnival Corporation","CCL","121","3","B"
"CocaCola Amatil Ltd.","CCLAY","121","3","A"
"CSI Compressco LP","CCLP","78","3","A"
"CNB Financial Corporation","CCNE","219","3","C"
"Clear Channel Outdoor Holdings, Inc.","CCO","195","3","F"
"Capcom Co., Ltd.","CCOEY","120","1","B"
"Cogent Communications Holdings, Inc.","CCOI","50","3","D"
"China Coal Energy Co.","CCOZY","63","1","A"
"CONSOL Coal Resources LP","CCR","63","3","C"
"Cross Country Healthcare, Inc.","CCRN","203","3","B"
"Century Communities, Inc.","CCS","245","4","C"
